species,common_name,date_time,lon,lat
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.570067,0.3018
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.0503,-0.737733
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.6539,-2.335333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.033533,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.871867,0.570067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.3522,-3.368867
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,64.838333,-3.3018
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,64.469467,-3.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,63.3522,-4.067167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.067167,-0.536533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.586833,-0.083833
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.586933,-3.5533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,67.486233,-0.2012
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,67.3522,-3.2013
